forehead	brow
egocentric	selfish
correct	right
precept	principle
contemporary	modern
accomplish	achieve
dedicated	committed
provide	supply
vacancy	emptiness
obdurate	stubborn
foyer	lobby
inflexible	rigid
